symbol,company,sector,source,fiscal_year,status,fcff_2025_m,fcff_2024_m,fcff_2023_m,ebit_m,dna_m,delta_nwc_m,capex_m,roic_nopat_m,ic_current_m,ic_prior_m,avg_ic_m,roic_pct,rf_pct,beta,erp_pct,ke_pct,interest_exp_m,icr,rating,spread_pct,kd_pretax_pct,kd_aftertax_pct,market_cap_b,total_debt_b,equity_weight_pct,debt_weight_pct,wacc_pct
OGP,"OceanaGold (Philippines), Inc.",Mining and Oil,Reuters (OGP.PS),Reuters,OK,138.085,47.6475,57.3225,119.9,38.0,-58.16,48.0,89.925,460.7,513.85,487.275,18.454671386793905,7.706,914.0,6.69,6122.366,0.6,199.83333333333334,Aaa/AAA,0.4,8.106,6.0795,79.9,0.0001,99.99987484371108,0.0001251562889157836,6122.358345082798
OM,Omico Corporation,Property,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
OPM,Oriental Petroleum and Minerals Corp.,Mining and Oil,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
ORE,Oriental Peninsula Resources Group,Mining and Oil,Reuters (ORE.PS),Reuters,OK,-103.01750000000024,217.145,247.1225,112.47,72.91,251.77000000000024,8.51,84.3525,7044.68,7015.13,7029.905,1.1999095293606385,7.706,0.58,6.69,11.5862,86.23,1.304302446944219,B3/B-,5.09,12.796000000000001,9.597000000000001,1.3,,100.0,,11.5862
OV,The Philodrill Corporation,Mining and Oil,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
PA,"Pacifica Holdings, Inc.",Holding Firms,Reuters (PA.PS),Reuters,PARTIAL,,,,,,,,,,,,,7.706,0.55,6.69,11.3855,1.88,,,,,,0.2795,,100.0,,11.3855
PAL,"PAL Holdings, Inc.",Services,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
PAX,"Paxys, Inc.",Services,Reuters (PAX.PS),Reuters,OK,1570.3125,87.3925,92.0725,98.75,7.38,-1489.31,0.44,74.0625,1218.8,2534.97,1876.885,3.946032921569515,7.706,-0.99,6.69,1.0829000000000004,225.24,0.43842123956668444,C2/C,16.0,23.706,17.7795,2.6,0.00281,99.89203975703182,0.1079602429681767,1.1009256899274251
PBB,Philippine Business Bank,Financials,Reuters (PBB.PS),Reuters,PARTIAL,,,,,,,,,,,,,7.706,0.21,6.69,9.110899999999999,4187.83,,,,,,6.0,,100.0,,9.110899999999999
PBC,Philippine Bank of Communications,Financials,Reuters (PBC.PS),Reuters,PARTIAL,,,,,,,,,,,,,7.706,0.42,6.69,10.5158,4647.27,,,,,,7.5,,100.0,,10.5158
PCOR,Petron Corporation,Industrial,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
PERC,PetroEnergy Resources Corporation,Industrial,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
PGOLD,"Puregold Price Club, Inc.",Services,Yahoo (PRGLY),2025-12-31,OK,18020.77777725,10130.578491,7936.46642375,17995.820027,6588.072728,-4193.970358,6258.130329,13496.86502025,136025.297072,130791.69754,133408.497306,10.116945541551335,7.706,0.494,6.69,11.010860000000001,4033.662734,4.461409198967501,A2/A,0.7799999999999999,8.486,6.3645000000000005,106.08917250700802,61.872913066,63.16257156791155,36.83742843208846,9.299260460302817
PHA,Premiere Horizon Alliance Corporation,Property,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
PHC,Philcomsat Holdings Corporation,Services,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
PHES,Philippine Estates Corporation,Property,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
PHN,Phinma Corporation,Industrial,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
PHR,"PH Resorts Group Holdings, Inc.",Services,Reuters (PHR.PS),Reuters,OK,9383.12,728.08,121.805,1936.68,10.13,-7949.84,29.36,1452.51,2538.4,3066.86,2802.63,51.82667708545188,7.706,0.44,6.69,10.649600000000001,899.36,2.1533979718911227,Ba2/BB,1.8399999999999999,9.546000000000001,7.1595,1.3,2.3275799999999998,35.836563218454174,64.16343678154583,8.41023189288727
PIZZA,"Shakey's Pizza Asia Ventures, Inc.",Industrial,Reuters (PIZZA.PS),Reuters,OK,1119.3525,843.75,1167.9975,941.07,1150.79,-281.51,1018.75,705.8025,16638.96,15848.26,16243.61,4.345108630409127,7.706,0.51,6.69,11.1179,476.69,1.9741760892823428,B1/B+,2.75,10.456,7.8420000000000005,10.6,8.50381,55.486313986581735,44.513686013418265,9.65967615988643
PLUS,DigiPlus Interactive Corp.,Services,Reuters (PLUS.PS),Reuters,OK,10235.8975,9069.96,1551.3575000000008,12655.69,1605.52,-723.78,1585.17,9491.7675,19852.59,19616.87,19734.73,48.09676899557278,7.706,-0.15,6.69,6.702500000000001,19.94,634.6885656970912,Aaa/AAA,0.4,8.106,6.0795,48.0,2.34844,95.33562509583217,4.664374904167835,6.673440944347034
PMPC,Panasonic Manufacturing Philippines Corp.,Industrial,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
PNB,Philippine National Bank,Financials,Reuters (PNB.PS),Reuters,PARTIAL,,,,,,,,,,,,,7.706,0.7,6.69,12.389,17133.6,,,,,,87.4,,100.0,,12.389
PNC,Philippine National Construction Corp.,Industrial,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
PNX,"Phoenix Petroleum Philippines, Inc.",Industrial,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
PORT,"Globalport 900, Inc.",Services,Reuters (PORT.PS),Reuters,OK,208.69,,,119.24,0.0,-119.3,0.04,89.43,18.18,98.19,58.185,153.6994070636762,7.706,667.01,6.69,4470.0029,,,,,,,20.7,,100.0,,4470.0029
PPC,Pryce Corporation,Industrial,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
PRC,"Philippine Racing Club, Inc.",Property,Reuters (PRC.PS),Reuters,OK,-479.34,129.8425,65.8425,150.12,8.25,592.17,8.01,112.59,5882.35,5500.56,5691.455,1.9782287657549784,7.706,-0.22,6.69,6.2342,85.0,1.7661176470588236,B1/B+,2.75,10.456,7.8420000000000005,2.7,0.87722,75.47760551489704,24.522394485102957,6.628471058531485
PREIT,Premiere Island Power REIT Corporation,Property,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
PRIM,"Prime Media Holdings, Inc.",Holding Firms,Reuters (PRIM.PS),Reuters,OK,-470.0025,10.0075,4.1475,0.53,0.13,470.51,0.02,0.3975,419.69,177.31,298.5,0.13316582914572864,7.706,0.03,6.69,7.9067,25.95,0.02042389210019268,D2/D,19.0,26.706000000000003,20.0295,0.7805,,100.0,,7.9067
PRMX,Primex Corporation,Property,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
PSB,Philippine Savings Bank,Financials,Reuters (PSB.PS),Reuters,PARTIAL,,,,,,,,,,,,,7.706,0.03,6.69,7.9067,4309.52,,,,,,22.8,,100.0,,7.9067
PSE,"The Philippine Stock Exchange, Inc.",Financials,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
PTC,Philippine Trust Company,Financials,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
PTT,PT&T Corp.,Services,Reuters (PTT.PS),Reuters,PARTIAL,14.419999999999881,62.4925,80.7,81.12,30.01,38.45000000000012,37.98,60.84,190.53,87.45,138.99,43.772933304554286,7.706,,6.69,,19.85,4.086649874055416,A3/A-,0.89,8.596,6.447,,0.05576,,,
PX,Philex Mining Corporation,Mining and Oil,Yahoo (PXMFF),2025-12-31,OK,-3032.85675,-3377.56025,-671.55575,1480.235,1005.346,-415.283,5563.662,1110.17625,49665.094,44000.285,46832.6895,2.37051568434907,7.706,1.133,6.69,15.28577,189.498,7.8113489324425585,Aa2/AA,0.5499999999999999,8.256,6.192,58.953735463552,20.856755,73.86715094862761,26.132849051372386,12.909308812821013
PXP,PXP Energy Corporation,Mining and Oil,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
RCB,Rizal Commercial Banking Corporation,Financials,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
RCI,"Roxas and Company, Inc.",Industrial,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
RCR,"RL Commercial REIT, Inc.",Property,Reuters (RCR.PS),Reuters,PARTIAL,,,,,,,,,,,,,7.706,0.66,6.69,12.121400000000001,21149.44,,,,,,140.0,,100.0,,12.121400000000001
